id,glosa
1,desarrollar todas las funciones asignadas asociadas al cargo efectuar limpieza de las zonas asignadas mediante la recolección de residuos y barrido de calles el empleador podrá encomendar cualquier otro tipo de labores relacionadas con el cargo
2,preparación de la planta para la produccióncumplir con las funciones específicas de la sección donde se desempeñen
3,proceso cereza fresca
4,responsable del manejo eficaz de la información y la concentración de la misma para la optimización de recursos a nivel de ingeniería en técnologias de la información desarrollando analisis integración y administración de la seguridad de la información y gestión de proyectos en ti
5,realizar docencia y supervisión a estudiantes
6,realiza picados de hormigón con herramientas manuales eléctricas o neumáticas como regador realiza regado de albañilerías o elementos de hormigón para asegurar el curado de morteros u hormigones realiza labores en el exterior e interior
7,estipulado en ladescripcion el cargo
8,conducir grúa horquilla de propano o eléctrica elevadores eléctricos móviles tipo ameco o geene conocer y manejar herramientas manuales y eléctricas taladro rotomartillo atornillador esmeril angular etc montaje y exhibiciones de campañas publicitarias
9,reposición de mercadería
10,labores propias del proceso productivo
11,responsable del orden y aseo de los espacios de comunes y de uso de la obra desarrollar labores auxiliares yo de apoyo logistico mantener el aseo y ornato de las distintas dependencias realizar limpieza y orden de oficinas banos y lugares publicos de la obra mantener las dependencias de la obr
12,se contrata los servicios de doña macarena soledad del carmen villagrán escala quién acepta y se obliga a efectuar el trabajo de secretaria atención apoderados en el colegio almondale lomas
13,limpieza de aulas y dependencias  del colegio
14,ejecutivo de cuenta
15,contestar teléfono y derivar taxis a los distintos servicios requeridos
16,aseo salas baños oficinas patio casino gimnasio laboratorio pasillos capilla todo lo que le corresponda según el pabellón destinado servicio de entrega materiales sacar basura lavado loza etc
17,retail mktgsales act mgr
18,coordinadora de admonistracion y finanzas
19,administración empresa
20,tecnico paramedico
21,area control de energia
22,guardia de seguridad
23,analista de proveedores
24,soldador
25,bajar las barreras a tiempo 2 proteger el cruce donde no hay barrera protegiendo el cruce ferroviario asignado de manera responsable y oportuna en las pasadas de trenes
26,brigadista
27,resesponsable de recibir las visitas de propietarios responsable por supervisar el ingreso de toda persona al edificio revisar camaras del circuito cerrado tvrecibir encomiendasatender requerimientos propietarios
28,presentarse en óptimas condiciones a cumplir con sus obligaciones contractuales entre otros en cuanto a su higiene personal y presentación bien afeitado y cabello corto manos limpias de toda infección uñas cortas y limpias y cabellera limpia rostro libre de aros o similaresb mantener p
29,sexaje pollitos 1 dia separar hembrasmachos
30,1 entregar una atencion basada en los valores de la red uc christus procurando que sea respetuosa integral responsable y acogedora centrada en la persona y su familia 2 promover el trabajo en el contexto de un equipo multidisciplinario de rehabilitacion 3 participar en otras funciones re
31,operador de riles
32,el auxiliar de servicios ejecuta tareas generales de aseo y desinfección  al mismo tiempo si desarrolla tareas especificas en el área de aseo deberá   ejecutar tareas generales de aseo en las diferentes instalaciones del recinto donde se presta servicio manteniendo sus dependencias y equipos limpi
33,asistente de la educación como asistente de aula y otras funciones establecidas en contrato escriturado que se dan por expresamente reproducidas y no se pueden transcribir por el límite de caracteres que impone esta página
34,supervisor
35,administrar la sucursal y equipo a su cargo asegurando el cumplimiento de metas y la correcta distribucion de tareas supervisa la exhibicion de productos gestiona la bajada de informacion y la seleccion de personal debe tener manejo en legislacion laboral gestion de equipos y area crediticia
36,cumple funciones en instalaciones de nuestro cliente hospital de curanilahue
37,runner
38,deber conducir yo prestar apoyo en la gestión del técnico empalmado de fibra óptica manejo de herramientas y escala de fibra óptica y tener ganas de aprender a utilizar equipos y aprender a empalmar fibra óptica
39,el trabajador se compromete y obliga a prestar sus servicios personales al empleador desempenando el trabajo o labor o cargo de administrador de sucursal coyhaique
